Timestamp,Value,Count,SD,User,Location
2020-04-08 03:30:00,33.642602777777775,360,4.806917642126472, TestUnit,Palace Hills
2020-04-08 04:00:00,34.690825000000004,360,4.78155056101778, TestUnit,Palace Hills
2020-04-08 04:30:00,34.247380555555566,360,4.951715055079931, TestUnit,Palace Hills
2020-04-08 05:00:00,31.951158333333336,360,5.000914284831936, TestUnit,Palace Hills
2020-04-08 05:30:00,32.75215833333333,360,5.1448293018668, TestUnit,Palace Hills
2020-04-08 06:00:00,34.58926944444444,360,4.865750959859322, TestUnit,Palace Hills
2020-04-08 06:30:00,35.362491666666656,360,4.746658422957788, TestUnit,Palace Hills
2020-04-08 07:00:00,35.05515833333333,360,4.779545662486306, TestUnit,Palace Hills
2020-04-08 07:30:00,35.046832062780275,223,4.548812832681012, TestUnit,Palace Hills
2020-04-08 11:00:00,36.67248680155403,304,4.548115956946488, TestUnit,Palace Hills
2020-04-08 11:30:00,38.354107019266785,360,34.81470973645918, TestUnit,Palace Hills
2020-04-08 12:00:00,36.60739950229004,360,4.999285256511634, TestUnit,Palace Hills
2020-04-08 12:30:00,37.0185764262066,360,4.700475031360205, TestUnit,Palace Hills
2020-04-08 13:00:00,36.92141454993242,360,5.318789480911562, TestUnit,Palace Hills
2020-04-08 13:30:00,37.34786787895007,360,4.338312646038069, TestUnit,Palace Hills
2020-04-08 14:00:00,36.66624994530881,360,4.757153909448867, TestUnit,Palace Hills
2020-04-08 14:30:00,37.10168139180939,360,5.266622866734704, TestUnit,Palace Hills
2020-04-08 15:00:00,36.936757773997606,360,4.806951764344863, TestUnit,Palace Hills
2020-04-08 15:30:00,38.290781027431585,360,25.113625920901523, TestUnit,Palace Hills
2020-04-08 16:00:00,37.5384390166328,360,4.774263206354188, TestUnit,Palace Hills
2020-04-08 16:30:00,37.59272645199019,360,5.076825088334704, TestUnit,Palace Hills
2020-04-08 17:00:00,37.91576615994892,360,4.894960096413305, TestUnit,Palace Hills
2020-04-08 17:30:00,37.96564619307321,360,4.949783915438327, TestUnit,Palace Hills
2020-04-08 18:00:00,37.16954037976116,360,4.968572931936962, TestUnit,Palace Hills
2020-04-08 18:30:00,38.23446295668995,360,5.344026551528978, TestUnit,Palace Hills
2020-04-08 19:00:00,38.19901688962189,360,5.433200466298302, TestUnit,Palace Hills
2020-04-08 19:30:00,38.2704353048889,360,4.749863234408166, TestUnit,Palace Hills
2020-04-08 20:00:00,37.86822409250713,360,5.138426993029191, TestUnit,Palace Hills
2020-04-08 20:30:00,38.900880238623365,360,4.95870601080127, TestUnit,Palace Hills
2020-04-08 21:00:00,40.37384144915382,360,29.09213259039811, TestUnit,Palace Hills
2020-04-08 21:30:00,39.317034092986795,360,5.286241097345385, TestUnit,Palace Hills
2020-04-08 22:00:00,38.58902808879876,360,5.333770645406529, TestUnit,Palace Hills
2020-04-08 22:30:00,38.64930136088635,360,5.507423096389122, TestUnit,Palace Hills
2020-04-08 23:00:00,40.105647049274154,360,5.191054790160804, TestUnit,Palace Hills
2020-04-08 23:30:00,41.018047954697,360,27.626773807084323, TestUnit,Palace Hills
2020-04-09 00:30:00,40.8751494459217,720,32.052936202332596, TestUnit,Palace Hills
2020-04-09 01:00:00,39.991847122734775,360,5.589131356970822, TestUnit,Palace Hills
2020-04-09 01:30:00,40.43749795470486,360,5.411563416910926, TestUnit,Palace Hills
2020-04-09 02:00:00,39.976226427834135,360,5.660171388148552, TestUnit,Palace Hills
2020-04-09 02:30:00,40.43736236855151,360,5.6536121000195925, TestUnit,Palace Hills
2020-04-09 03:00:00,40.269986108911176,360,5.90455872921298, TestUnit,Palace Hills
2020-04-09 03:30:00,40.42390143634192,360,5.706541173321923, TestUnit,Palace Hills
2020-04-09 04:00:00,40.71050805978832,360,5.805728547448508, TestUnit,Palace Hills
2020-04-09 04:30:00,40.80618882964024,360,5.648937642240333, TestUnit,Palace Hills
2020-04-09 05:00:00,43.96783585011729,360,59.23001241563733, TestUnit,Palace Hills
2020-04-09 05:30:00,41.02707323626856,360,5.8395370495832495, TestUnit,Palace Hills
2020-04-09 06:00:00,41.226823675471664,360,5.56106837406128, TestUnit,Palace Hills
2020-04-09 06:30:00,41.29660402171716,360,6.185520430904583, TestUnit,Palace Hills
2020-04-09 07:00:00,41.533358843530834,360,6.459096481806595, TestUnit,Palace Hills
2020-04-09 07:30:00,44.64012343883815,360,61.180655164656855, TestUnit,Palace Hills
2020-04-09 08:00:00,41.2009513309277,360,5.776053123888849, TestUnit,Palace Hills
2020-04-09 08:30:00,41.25409783318006,360,6.5893965111150665, TestUnit,Palace Hills
2020-04-09 09:00:00,42.615230486132866,355,21.218392773712033, TestUnit,Palace Hills
2020-04-09 20:30:00,47.12163027368384,244,6.538202044645086, TestUnit,Palace Hills
2020-04-09 21:00:00,49.06584853558079,55,6.149617180425402, TestUnit,Palace Hills
2020-04-09 21:30:00,48.765485847149165,64,6.5966206731565675, TestUnit,Palace Hills
2020-04-09 22:00:00,47.726807200684625,360,7.0508949432463535, TestUnit,Palace Hills
2020-04-09 22:30:00,50.005044516172845,360,35.28855673415839, TestUnit,Palace Hills
2020-04-09 23:00:00,48.053613660800124,360,6.937202385269813, TestUnit,Palace Hills
2020-04-09 23:30:00,48.2358785196735,360,7.100953900209935, TestUnit,Palace Hills
2020-04-10 00:30:00,48.51115017000787,720,7.1269353792602335, TestUnit,Palace Hills
2020-04-10 01:00:00,47.95755609257099,360,7.275760831830013, TestUnit,Palace Hills
2020-04-10 01:30:00,48.74893533691449,360,7.1075742787640195, TestUnit,Palace Hills
2020-04-10 02:00:00,49.01357198855406,360,7.211603714586177, TestUnit,Palace Hills
2020-04-10 02:30:00,48.648486833585736,360,7.3267659886203065, TestUnit,Palace Hills
2020-04-10 03:00:00,49.12123207992555,360,6.988591742018333, TestUnit,Palace Hills
2020-04-10 03:30:00,49.346180676428915,360,7.818991899330006, TestUnit,Palace Hills
2020-04-10 04:00:00,49.54608574892978,360,7.330415448859013, TestUnit,Palace Hills
2020-04-10 04:30:00,49.66115175978826,360,7.58828233826308, TestUnit,Palace Hills
2020-04-10 05:00:00,48.61720983680868,360,7.7107203378102245, TestUnit,Palace Hills
2020-04-10 05:30:00,49.43051303119657,360,7.620591738930632, TestUnit,Palace Hills
2020-04-10 06:00:00,50.85733977848296,360,23.685166842766144, TestUnit,Palace Hills
2020-04-10 06:30:00,49.756712802788904,360,6.9897302840282105, TestUnit,Palace Hills
2020-04-10 07:00:00,51.30509091843525,360,42.09373677611063, TestUnit,Palace Hills
